,_id,_keywords,generic_name_en,product_name,categories,categories_hierarchy,brands,quantity,ingredients_original_tags,ingredients_text_en,countries,stores,manufacturing_places,origin,origin_en,cocoa_100g,cocoa_unit,cocoa-minimum_100g,cocoa-minimum_unit,carbohydrates_100g,carbohydrates_unit,energy-kcal_100g,energy-kcal_unit,energy_100g,energy_unit,fat_100g,fat_unit,fiber_100g,fiber_unit,fruits-vegetables-nuts-estimate-from-ingredients_100g,nova-group_100g,nutrition-score-fr_100g,proteins_100g,proteins_unit,salt_100g,salt_unit,saturated-fat_100g,saturated-fat_unit,sodium_100g,sodium_unit,sugars_100g,sugars_unit,energy-kj_100g,energy-kj_unit
0,3046920029759,"['90', 'and', 'bar', 'chocolate', 'cocoa', 'dark', 'dot', 'extra', 'fine', 'green', 'it', 'lindt', 'product', 'snack', 'supreme', 'sweet', 'triman']",Extra fine dark chocolate 90% cocoa,Supreme Dark 90%,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Extra fine dark chocolates,Dark chocolate bar","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar', 'en:extra-fine-dark-chocolates']",Lindt,100 g,"['en:cocoa-paste', 'en:cocoa-butter', 'en:fat-reduced-cocoa', 'en:sugar', 'en:vanilla']","cocoa mass, cocoa butter, fat reduced cocoa, sugar, vanilla","Algeria,Austria,Belgium,Bulgaria,Canada,Czech Republic,Finland,France,French Polynesia,Germany,Ireland,Italy,Mauritius,Morocco,Netherlands,Norway,Réunion,Romania,Singapore,Spain,Sweden,Switzerland,Tunisia,United Kingdom","Carrefour,Géant,kupsch,Magasins U,Esselunga,Lindt,carrefour.fr,COOP,El Corte Inglés,Consum,Meny,Walmart",Aachen,,,90.0,g,,,14.0,g,592.0,kcal,2477.0,kcal,55.0,g,0.0,g,0.0,3.0,19.0,10.0,g,0.03,g,30.0,g,0.012,g,7.0,g,,
1,6111031005064,"['and', 'beverage', 'bimo', 'biscuit', 'cake', 'candie', 'cereal', 'chocolate', 'cocoa', 'confectionerie', 'cracker', 'flour', 'food', 'gaufrettes-fourrees-au-cacao', 'it', 'morocco', 'plant-based', 'potatoe', 'product', 'snack', 'sugar', 'sweet', 'sweetener', 'their', 'tonik', 'wheat']",,Tonik,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Cereals and their products,Cocoa and its products,Confectioneries,Flours,Biscuits,Cereal flours,Chocolate candies,Sweeteners,Wheat flours,Sugars,fr:Gaufrettes-fourrees-au-cacao","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:cereals-and-their-products', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:flours', 'en:biscuits', 'en:cereal-flours', 'en:chocolate-candies', 'en:sweeteners', 'en:wheat-flours', 'en:sugars', 'fr:Gaufrettes-fourrees-au-cacao']",Bimo,22 g,"['fr:coffret-fourre-au-cacao', 'en:vanilla', 'fr:ingredients-farine-de-ble', 'en:sugar', 'en:non-hydrogenated-vegetable-oils', 'en:milk', 'fr:poudre-de-cacao-emulsifiant-a-faible-teneur-en-cacao', 'fr:lecithine-de-soja-agent-levant', 'fr:sucre-artificiel', 'en:salt', 'en:soya', 'fr:208', 'en:palm-oil', 'fr:322', 'fr:5000', 'en:vanillin']",,Morocco,,,,,,,,,71.7,g,504.0,kcal,2120.0,kJ,22.2,g,0.435,g,0.0,2.0,28.0,4.35,g,0.217,g,10.9,g,0.087,g,40.0,g,2120.0,kJ
2,20995553,"['85', 'and', 'artificial', 'cacao', 'chocolat', 'chocolate', 'cocoa', 'dark', 'de', 'fair', 'fairtrade', 'flavor', 'fsc', 'gros', 'havelaar', 'international', 'it', 'j-d', 'max', 'mix', 'no', 'noir', 'product', 'snack', 'sweet', 'trade', 'vegan', 'vegetarian']",Dark chocolate,Chocolat noir - 85% cacao,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",J.D. Gross,125g,"['en:cocoa-paste', 'en:fat-reduced-cocoa-powder', 'en:cocoa-butter', 'en:sugar', 'en:emulsifier', 'en:vanilla-extract', 'en:e322', 'en:soya-lecithin']","Cocoa mass, fat reduced cocoa powder, cocoa butter, sugar, emulsifier: soya lecithins, vanilla extract.
Dark chocolate containts: Cocoa solids 85% minimum.","Austria,Belgium,Bulgaria,Estonia,Finland,France,Germany,Italy,Lithuania,Slovakia,Slovenia,Spain,United Kingdom",Lidl,,,,85.0,g,,,36.0,g,600.0,kcal,2510.0,kcal,48.0,g,16.0,g,0.0,4.0,15.0,12.0,g,0.0,g,28.0,g,0.0,g,12.0,g,,
3,8425197712024,"['almond', 'and', 'ce', 'chocolate', 'cocoa', 'compound', 'confectionerie', 'dot', 'food', 'green', 'in', 'it', 'made', 'maruja', 'milk', 'product', 'snack', 'spain', 'sweet', 'with']",Compound Chocolate with MILK AND ALMONDS,,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Compound chocolates,Food","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:compound-chocolates', 'en:Food']",Maruja,150 g,"['en:sugar', 'en:cocoa-butter', 'en:whole-milk-powder', 'en:cocoa-paste', 'en:almond', 'en:emulsifier', 'en:flavouring', 'en:soya-lecithin']","sugar, cocoa butter, whole milk powder, cocoa mass, almonds, emulsifier (soya lecithin), flavoring","Algeria,Cameroon,France,Morocco,Spain",,Espagne,,,8.0,g,,,53.0,g,539.0,kcal,2255.0,kcal,33.0,g,,,2.67857142857143,4.0,31.0,7.2,g,0.275,g,25.0,g,0.11,g,50.0,g,,
4,3608580065340,"['and', 'bonne', 'breakfast', 'cacao', 'chocolate', 'cocoa', 'et', 'hazelnut', 'maman', 'no', 'noisette', 'oil', 'palm', 'pate', 'spread', 'sweet', 'tartiner', 'triman']",,Pâte à tartiner noisettes et cacao,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads","['en:breakfasts', 'en:spreads', 'en:sweet-spreads', 'fr:pates-a-tartiner', 'en:hazelnut-spreads', 'en:chocolate-spreads', 'en:cocoa-and-hazelnuts-spreads']",Bonne Maman,360 g,"['en:sugar', 'en:hazelnut', 'en:vegetable-oil', 'en:skimmed-milk-powder', 'en:fat-reduced-cocoa-powder', 'en:cocoa-butter', 'en:emulsifier', 'en:vanilla-extract', 'en:sunflower-oil', 'en:colza-oil', 'en:sunflower-lecithin']","sugar, hazelnuts 20%, vegetable oils (sunflower, rapeseed), skimmed milk powder, low-fat cocoa powder 5.5%, cocoa butter, emulsifier: sunflower lecithin, vanilla extract, may contain other nuts,",France,"carrefour.fr,Carrefour",,,,,,,,53.0,g,551.0,kcal,2299.0,kJ,34.0,g,3.3,g,25.0,4.0,24.0,6.7,g,0.1,g,5.2,g,0.04,g,51.0,g,2299.0,kJ
5,3229820100234,"['ab', 'agriculture', 'and', 'au', 'biologique', 'biscuit', 'bjorg', 'ble', 'butter', 'cake', 'certified', 'chocolat', 'chocolate', 'cocoa', 'corporation', 'cracker', 'dark', 'de', 'eu', 'eu-non-eu', 'european', 'farine', 'filled', 'fourre', 'fr-bio-01', 'francai', 'france', 'gouter', 'no', 'noir', 'non', 'non-eu', 'oil', 'organic', 'palm', 'pure', 'sandwich', 'snack', 'sweet', 'union']",,Fourrés Chocolat Noir,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, Filled biscuits, Dark chocolate biscuits, Sandwich biscuits","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:biscuits', 'en:chocolate-biscuits', 'en:filled-biscuits', 'en:dark-chocolate-biscuits', 'en:sandwich-biscuits']",Bjorg,225 g,"['en:wheat-flour', 'en:dark-chocolate', 'en:unrefined-cane-sugar', 'en:whole-wheat-flour', 'en:high-oleic-sunflower-oil', 'en:natural-vanilla-flavouring', 'en:skimmed-milk-powder', 'en:sea-salt', 'en:e503', 'en:e500', 'en:e414', 'en:cocoa-paste', 'en:cane-sugar', 'en:cocoa-butter']","_Wheat_ flour 39%, dark chocolate 25% (cocoa mass, cane sugar, cocoa butter), unrefined brown cane sugar, wholemeal _wheat_ flour 15%, oleic sunflower oil, natural vanilla flavouring, skimmed _milk_ powder, sea salt, raising agents: ammonium carbonates, sodium carbonates, thickener: acacia gum, antioxidant: rosemary extract.","France,Luxembourg,Switzerland","LIDL,Monoprix,Carrefour,Auchan,Intermarché,Carrefour Market,Leclerc",France,,,,,,,66.0,g,476.0,kcal,1996.0,kJ,19.0,g,5.2,g,0.0,4.0,18.0,7.6,g,0.49,g,6.3,g,0.196,g,27.0,g,1996.0,kJ
6,20022464,"['74', 'alliance', 'and', 'butter', 'cacao-et-derive', 'carre', 'chocolate', 'cocoa', 'commerce-equitable', 'dark', 'extra', 'fair', 'fairtrade', 'fin', 'fine', 'germany', 'in', 'international', 'it', 'ludwig', 'product', 'pure', 'rainforest', 'snack', 'sweet', 'trade', 'vegan', 'vegetarian', 'weinrich']",,Extra dark 74% Cocoa,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Extra fine dark chocolates,Cacao-et-derives","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:extra-fine-dark-chocolates', 'en:Cacao-et-derives']",fin CARRÉ,100 gram,"['en:cocoa-paste', 'en:sugar', 'en:cocoa-butter', 'en:fat-reduced-cocoa-powder', 'en:emulsifier', 'en:natural-vanilla-flavouring', 'en:dark-chocolate', 'en:e322', 'en:cocoa-solids']","cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier: lecithins (soya), natural vanilla flavouring, dark chocolate contains: cocoa solids 74% minimum,","Belgium,Bulgaria,Czech Republic,Finland,Germany,Netherlands,Poland,Spain",Lidl,"Übach-Palenberg,Heinsberg (Kreis),Köln (Regierungsbezirk),Nordrhein-Westfalen,Deutschland",,,74.0,g,,,32.0,g,571.0,kcal,2367.0,kJ,42.0,g,,,0.0,4.0,24.0,9.9,g,0.02,g,26.0,g,0.008,g,26.0,g,2367.0,kJ
7,16256866,"['1848', '32', 'africa', 'afrique', 'and', 'beverage', 'cacao', 'chocolat', 'chocolate', 'cocoa', 'de', 'dot', 'en', 'feve', 'gluten', 'green', 'instant', 'it', 'no', 'origine', 'poudre', 'poulain', 'powder', 'preparation', 'product', 'triman']",,1848 Chocolat en poudre,"Beverages and beverages preparations,Beverages,Cocoa and its products,Beverage preparations,Cocoa and chocolate powders,Instant beverages,Instant chocolate powders,B","['en:beverages-and-beverages-preparations', 'en:beverages', 'en:cocoa-and-its-products', 'en:beverage-preparations', 'en:cocoa-and-chocolate-powders', 'en:instant-beverages', 'en:instant-chocolate-powders', 'en:B']",Poulain,450 g,"['en:fat-reduced-cocoa-powder', 'en:sugar', 'en:flavouring', 'en:cocoa-butter']",,"Algeria,France,Martinique,Morocco,United Kingdom",,,,,,,,,63.0,g,515.0,kcal,2160.0,kcal,26.0,g,1.0,g,0.0,4.0,16.0,7.1,g,0.245,g,7.74,g,0.098,g,61.0,g,,kJ
8,3046920028004,"['70', 'and', 'bar', 'chocolate', 'cocoa', 'dark', 'dot', 'extra', 'fine', 'france', 'green', 'in', 'it', 'lindt', 'made', 'more', 'product', 'snack', 'sprungli', 'sweet', 'than', 'vegan', 'vegetarian', 'with']",Dark Chocolate 70% cocoa,70% chocolate,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Extra fine dark chocolates,Dark chocolate bar with more than 70% cocoa","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar-with-more-than-70-cocoa', 'en:extra-fine-dark-chocolates']",Lindt & Sprüngli,100 g,"['en:cocoa-paste', 'en:sugar', 'en:cocoa-butter', 'en:vanilla']","Cocoa mass, sugar, cocoa butter, vanilla.","Australia,Belgium,Canada,Czech Republic,Denmark,Estonia,France,Germany,Hungary,Ireland,Italy,Lebanon,Morocco,Netherlands,Portugal,Serbia,Spain,Switzerland,United Kingdom",,France,,,70.0,g,,,34.0,g,566.0,kcal,2350.0,kJ,41.0,g,,,0.0,3.0,25.0,9.5,g,0.1,g,24.0,g,0.04,g,30.0,g,2350.0,kJ
9,59032823,"['and', 'au', 'aux', 'based', 'breakfast', 'cacao', 'chocolate', 'cocoa', 'confectionary', 'creme-para-barrar-de-avela', 'creme-para-barrar-de-avela-e-cacau', 'et', 'fat', 'ferrero', 'gluten', 'hazelnut', 'no', 'noisette', 'nutella', 'pate', 'pequenos-alomoco', 'spread', 'spreadable', 'sweet', 'tartiner', 'triman', 'vegetarian']",,nutella,"Breakfasts,Spreads,Sweet spreads,Spreadable fats,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads,Confectionary based spreads,Creme-para-barrar-de-avelã,Creme-para-barrar-de-avelã-e-cacau,Pequenos-alomoços","['en:breakfasts', 'en:spreads', 'en:sweet-spreads', 'en:spreadable-fats', 'fr:pates-a-tartiner', 'en:hazelnut-spreads', 'en:chocolate-spreads', 'en:cocoa-and-hazelnuts-spreads', 'en:confectionary-based-spreads', 'en:Creme-para-barrar-de-avelã', 'en:Creme-para-barrar-de-avelã-e-cacau', 'en:Pequenos-alomoços']","Ferrero,Nutella",630 g (42 x 15 g),"['en:sugar', 'en:palm-oil', 'en:hazelnut', 'en:skimmed-milk-powder', 'en:fat-reduced-cocoa', 'en:emulsifier', 'en:vanillin', 'en:e322']","sugar, palm oil, hazelnuts 13%, skimmed milk powder 8.7%, low-fat cocoa 7.4%, emulsifiers: lecithins soya , vanillin,","Belgium,Denmark,France,Germany,Morocco,Netherlands,Romania,Sweden,Switzerland,Turkey",,,,,,,,,57.5,g,539.0,kcal,2252.0,kJ,30.9,g,3.5,g,13.0,4.0,30.0,6.3,g,0.107,g,10.6,g,0.0428,g,56.3,g,2252.0,kJ
